survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
0,3,male,,1,0,0.6836025091934652,S,Third,man,True,,Southampton,no,False,1
1,1,female,,1,0,1.450831806878886,C,First,woman,False,C,Cherbourg,yes,False,1
1,3,female,,0,0,0.7275593897135163,S,Third,woman,False,,Southampton,yes,True,0
1,1,female,,1,0,1.3793142890599341,S,First,woman,False,C,Southampton,yes,False,1
0,3,male,,0,0,0.7350911493182706,S,Third,man,True,,Southampton,no,True,0
0,3,male,,0,0,0.7585360624442683,Q,Third,man,True,,Queenstown,no,True,0
0,1,male,,0,0,1.373360069058279,S,First,man,True,E,Southampton,no,True,0
0,3,male,,3,1,1.1145143460369606,S,Third,child,False,,Southampton,no,False,4
1,3,female,,0,2,0.8796021070737157,S,Third,woman,False,,Southampton,yes,False,2
1,2,female,,1,0,1.2248203564496807,C,Second,child,False,,Cherbourg,yes,False,1
1,3,female,,1,1,1.0351074444527193,S,Third,child,False,G,Southampton,yes,False,2
1,1,female,,0,0,1.1875475700043259,S,First,woman,False,C,Southampton,yes,True,0
0,3,male,,0,0,0.7350911493182706,S,Third,man,True,,Southampton,no,True,0
0,3,male,,1,5,1.2362906289100162,S,Third,man,True,,Southampton,no,False,6
0,3,female,,0,0,0.7232147953552717,S,Third,child,False,,Southampton,no,True,0
1,2,female,,0,0,1.0197814405382262,S,Second,woman,False,,Southampton,yes,True,0
0,3,male,,4,1,1.2153864932212857,Q,Third,child,False,,Queenstown,no,False,5
1,2,male,,0,0,0.9419387347481111,S,Second,man,True,,Southampton,yes,True,0
0,3,female,,1,0,1.0613851298016763,S,Third,woman,False,,Southampton,no,False,1
1,3,female,,0,0,0.6818573060879378,C,Third,woman,False,,Cherbourg,yes,True,0
0,2,male,,0,0,1.1811431408094568,S,Second,man,True,,Southampton,no,True,0
1,2,male,,0,0,0.9419387347481111,S,Second,man,True,D,Southampton,yes,True,0
1,3,female,,0,0,0.733849918334822,Q,Third,child,False,,Queenstown,yes,True,0
1,1,male,,0,0,1.2724346898795886,S,First,man,True,A,Southampton,yes,True,0
0,3,female,,3,1,1.1145143460369606,S,Third,child,False,,Southampton,no,False,4
1,3,female,,1,5,1.237333029611195,S,Third,woman,False,,Southampton,yes,False,6
0,3,male,,0,0,0.6818573060879378,C,Third,man,True,,Cherbourg,no,True,0
0,1,male,,3,2,1.7177816995013306,S,First,man,True,C,Southampton,no,False,5
1,3,female,,0,0,0.7247555198383135,Q,Third,woman,False,,Queenstown,yes,True,0
0,3,male,,0,0,0.7257745575424253,S,Third,man,True,,Southampton,no,True,0
0,1,male,,0,0,1.200622107185067,C,First,man,True,,Cherbourg,no,True,0
1,1,female,,1,0,1.6068680928546852,C,First,woman,False,B,Cherbourg,yes,False,1
1,3,female,,0,0,0.7167137171037538,Q,Third,woman,False,,Queenstown,yes,True,0
0,2,male,,0,0,0.8550003727983172,S,Second,man,True,,Southampton,no,True,0
0,1,male,,1,0,1.483602545358131,C,First,man,True,,Cherbourg,no,False,1
0,1,male,,1,0,1.3740303948169557,S,First,man,True,,Southampton,no,False,1
1,3,male,,0,0,0.6821511350272869,C,Third,man,True,,Cherbourg,yes,True,0
0,3,male,,0,0,0.7350911493182706,S,Third,man,True,,Southampton,no,True,0
0,3,female,,2,0,1.0613851298016763,S,Third,woman,False,,Southampton,no,False,2
1,3,female,,1,0,0.8836146683936771,C,Third,child,False,,Cherbourg,yes,False,1
0,3,female,,1,0,0.8103330383715688,S,Third,woman,False,,Southampton,no,False,1
0,2,female,,1,0,1.1133440539599853,S,Second,woman,False,,Southampton,no,False,1
0,3,male,,0,0,0.7257745575424253,C,Third,man,True,,Cherbourg,no,True,0
